match,P(first win),P(draw),P(second win),Top 1 score,Top 2 score,Top 3 score,Top 4 score,Top 5 score,Top 6 score,Top 7 score,Top 8 score,Top 9 score,Top 10 score,Top 11 score,Top 12 score,Top 13 score,Top 14 score,Top 15 score,Top 16 score,Top 17 score,Top 18 score,Top 19 score,Top 20 score
Iran vs New Zealand,61.6152,21.2414,17.1434,1-0 (10.9%),2-0 (10.7%),1-1 (10.1%),2-1 (9.9%),3-0 (7.0%),3-1 (6.6%),0-0 (5.6%),0-1 (5.1%),1-2 (4.7%),2-2 (4.5%),4-0 (3.5%),4-1 (3.2%),3-2 (3.0%),0-2 (2.4%),4-2 (1.5%),2-3 (1.4%),1-3 (1.4%),5-0 (1.4%),5-1 (1.3%),3-3 (0.9%)
Spain vs Cape Verde,83.664,11.110000000000001,5.226,2-0 (12.3%),3-0 (12.1%),4-0 (8.7%),1-0 (8.5%),2-1 (7.7%),3-1 (7.5%),4-1 (5.4%),1-1 (5.2%),5-0 (5.1%),5-1 (3.2%),0-0 (2.9%),6-0 (2.5%),2-2 (2.4%),3-2 (2.3%),0-1 (1.8%),4-2 (1.7%),1-2 (1.6%),6-1 (1.5%),7-0 (1.0%),5-2 (1.0%)
Spain vs Saudi Arabia,82.34179999999999,11.846,5.8122,2-0 (12.5%),3-0 (11.7%),1-0 (8.8%),4-0 (8.2%),2-1 (8.0%),3-1 (7.5%),1-1 (5.6%),4-1 (5.3%),5-0 (4.7%),0-0 (3.1%),5-1 (3.1%),2-2 (2.6%),3-2 (2.4%),6-0 (2.2%),0-1 (2.0%),1-2 (1.8%),4-2 (1.7%),6-1 (1.4%),5-2 (1.0%),7-0 (0.9%)
Spain vs Uruguay,60.941199999999995,21.4716,17.5872,1-0 (10.9%),2-0 (10.6%),1-1 (10.2%),2-1 (10.0%),3-0 (6.9%),3-1 (6.4%),0-0 (5.6%),0-1 (5.2%),1-2 (4.8%),2-2 (4.6%),4-0 (3.4%),4-1 (3.1%),3-2 (3.0%),0-2 (2.5%),1-3 (1.5%),4-2 (1.5%),2-3 (1.4%),5-0 (1.3%),5-1 (1.2%),3-3 (0.9%)
Cape Verde vs Saudi Arabia,35.1288,25.884,38.9872,1-1 (12.3%),0-1 (9.4%),1-0 (8.8%),1-2 (8.4%),2-1 (8.0%),0-0 (6.7%),0-2 (6.5%),2-0 (5.7%),2-2 (5.6%),1-3 (4.0%),3-1 (3.5%),0-3 (3.0%),2-3 (2.6%),3-0 (2.5%),3-2 (2.4%),1-4 (1.4%),3-3 (1.1%),4-1 (1.1%),0-4 (1.1%),2-4 (0.9%)
Cape Verde vs Uruguay,15.879399999999999,20.617,63.503600000000006,0-2 (11.0%),0-1 (10.8%),1-2 (10.0%),1-1 (9.7%),0-3 (7.4%),1-3 (6.7%),0-0 (5.4%),1-0 (4.8%),2-2 (4.5%),2-1 (4.4%),0-4 (3.8%),1-4 (3.3%),2-3 (3.0%),2-0 (2.2%),0-5 (1.5%),2-4 (1.5%),1-5 (1.4%),3-2 (1.3%),3-1 (1.3%),3-3 (0.9%)
Saudi Arabia vs Uruguay,17.2358,21.2852,61.47899999999999,0-1 (10.9%),0-2 (10.7%),1-1 (10.1%),1-2 (9.9%),0-3 (7.0%),1-3 (6.5%),0-0 (5.5%),1-0 (5.1%),2-1 (4.7%),2-2 (4.6%),0-4 (3.4%),1-4 (3.2%),2-3 (3.0%),2-0 (2.4%),2-4 (1.5%),3-2 (1.4%),3-1 (1.4%),0-5 (1.4%),1-5 (1.3%),3-3 (0.9%)
France vs Senegal,55.471000000000004,23.1226,21.4064,1-1 (11.0%),1-0 (10.9%),2-1 (9.8%),2-0 (9.7%),0-1 (6.2%),0-0 (6.0%),3-1 (5.8%),3-0 (5.8%),1-2 (5.6%),2-2 (5.0%),0-2 (3.1%),3-2 (3.0%),4-1 (2.6%),4-0 (2.6%),1-3 (1.9%),2-3 (1.7%),4-2 (1.3%),0-3 (1.1%),3-3 (1.0%),5-0 (0.9%)
France vs Iraq,69.97240000000001,18.049,11.9786,2-0 (11.9%),1-0 (10.6%),2-1 (9.6%),3-0 (8.9%),1-1 (8.5%),3-1 (7.2%),4-0 (5.0%),0-0 (4.7%),4-1 (4.1%),2-2 (3.9%),0-1 (3.8%),1-2 (3.5%),3-2 (2.9%),5-0 (2.3%),5-1 (1.8%),4-2 (1.7%),0-2 (1.5%),2-3 (1.1%),1-3 (0.9%),6-0 (0.8%)
France vs Norway,57.5036,22.5952,19.9012,1-0 (10.8%),1-1 (10.7%),2-0 (10.0%),2-1 (9.9%),3-0 (6.2%),3-1 (6.1%),0-0 (6.0%),0-1 (5.9%),1-2 (5.2%),2-2 (4.9%),3-2 (3.0%),4-0 (2.9%),0-2 (2.9%),4-1 (2.8%),1-3 (1.7%),2-3 (1.6%),4-2 (1.4%),5-0 (1.1%),5-1 (1.0%),3-3 (1.0%)
