match,P(first win),P(draw),P(second win),Top 1 score,Top 2 score,Top 3 score,Top 4 score,Top 5 score,Top 6 score,Top 7 score,Top 8 score,Top 9 score,Top 10 score,Top 11 score,Top 12 score,Top 13 score,Top 14 score,Top 15 score,Top 16 score,Top 17 score,Top 18 score,Top 19 score,Top 20 score
Senegal vs Iraq,51.834199999999996,24.0182,24.1476,1-1 (11.3%),1-0 (10.7%),2-1 (9.7%),2-0 (9.0%),0-1 (6.8%),0-0 (6.3%),1-2 (6.2%),3-1 (5.5%),2-2 (5.2%),3-0 (5.0%),0-2 (3.6%),3-2 (3.0%),4-1 (2.3%),1-3 (2.2%),4-0 (2.2%),2-3 (1.9%),0-3 (1.3%),4-2 (1.2%),3-3 (1.1%),5-1 (0.8%)
Senegal vs Norway,39.1322,25.842599999999997,35.0252,1-1 (12.3%),1-0 (9.4%),0-1 (8.8%),2-1 (8.5%),1-2 (8.0%),0-0 (6.7%),2-0 (6.5%),0-2 (5.7%),2-2 (5.6%),3-1 (4.0%),1-3 (3.5%),3-0 (3.0%),3-2 (2.6%),0-3 (2.5%),2-3 (2.4%),4-1 (1.4%),1-4 (1.1%),3-3 (1.1%),4-0 (1.1%),4-2 (0.9%)
Iraq vs Norway,25.872600000000002,24.4942,49.6332,1-1 (11.7%),0-1 (10.5%),1-2 (9.5%),0-2 (8.5%),1-0 (7.1%),2-1 (6.4%),0-0 (6.3%),2-2 (5.3%),1-3 (5.2%),0-3 (4.7%),2-0 (3.9%),2-3 (2.9%),3-1 (2.4%),1-4 (2.1%),3-2 (2.0%),0-4 (1.9%),3-0 (1.5%),2-4 (1.2%),3-3 (1.1%),1-5 (0.7%)
Argentina vs Algeria,64.8082,20.0862,15.105599999999999,2-0 (11.2%),1-0 (10.8%),2-1 (9.9%),1-1 (9.5%),3-0 (7.7%),3-1 (6.8%),0-0 (5.2%),0-1 (4.6%),2-2 (4.3%),1-2 (4.3%),4-0 (4.0%),4-1 (3.5%),3-2 (3.0%),0-2 (2.0%),5-0 (1.7%),4-2 (1.5%),5-1 (1.5%),2-3 (1.3%),1-3 (1.3%),3-3 (0.9%)
Argentina vs Austria,65.6714,19.789,14.5396,2-0 (11.4%),1-0 (10.8%),2-1 (9.8%),1-1 (9.4%),3-0 (7.9%),3-1 (6.9%),0-0 (5.2%),0-1 (4.5%),2-2 (4.3%),4-0 (4.2%),1-2 (4.1%),4-1 (3.6%),3-2 (3.0%),0-2 (1.9%),5-0 (1.7%),4-2 (1.6%),5-1 (1.5%),2-3 (1.2%),1-3 (1.2%),3-3 (0.9%)
Argentina vs Jordan,78.2528,14.0576,7.6896,2-0 (12.5%),3-0 (10.8%),1-0 (9.6%),2-1 (8.7%),3-1 (7.6%),4-0 (7.1%),1-1 (6.6%),4-1 (4.9%),0-0 (3.7%),5-0 (3.7%),2-2 (3.0%),3-2 (2.6%),5-1 (2.6%),0-1 (2.6%),1-2 (2.4%),4-2 (1.7%),6-0 (1.6%),6-1 (1.1%),5-2 (0.9%),0-2 (0.9%)
Algeria vs Austria,38.1746,25.733800000000002,36.0916,1-1 (12.3%),1-0 (9.3%),0-1 (9.0%),2-1 (8.4%),1-2 (8.1%),0-0 (6.7%),2-0 (6.3%),0-2 (5.9%),2-2 (5.6%),3-1 (3.8%),1-3 (3.6%),3-0 (2.9%),0-3 (2.6%),3-2 (2.6%),2-3 (2.5%),4-1 (1.3%),1-4 (1.2%),3-3 (1.1%),4-0 (1.0%),4-2 (0.9%)
Algeria vs Jordan,52.06699999999999,24.1404,23.7926,1-1 (11.5%),1-0 (10.6%),2-1 (9.7%),2-0 (9.1%),0-1 (6.7%),0-0 (6.2%),1-2 (6.1%),3-1 (5.5%),2-2 (5.2%),3-0 (5.2%),0-2 (3.6%),3-2 (2.9%),4-1 (2.3%),4-0 (2.2%),1-3 (2.2%),2-3 (1.8%),0-3 (1.3%),4-2 (1.2%),3-3 (1.0%),5-1 (0.8%)
Austria vs Jordan,51.1502,24.2682,24.5816,1-1 (11.5%),1-0 (10.5%),2-1 (9.7%),2-0 (8.9%),0-1 (6.8%),0-0 (6.3%),1-2 (6.2%),3-1 (5.4%),2-2 (5.3%),3-0 (5.0%),0-2 (3.7%),3-2 (2.9%),1-3 (2.3%),4-1 (2.3%),4-0 (2.1%),2-3 (1.9%),0-3 (1.4%),4-2 (1.3%),3-3 (1.0%),5-1 (0.8%)
Portugal vs DR Congo,67.8932,18.8868,13.22,2-0 (11.6%),1-0 (10.7%),2-1 (9.7%),1-1 (8.9%),3-0 (8.5%),3-1 (7.1%),0-0 (5.0%),4-0 (4.5%),0-1 (4.2%),2-2 (4.1%),4-1 (3.8%),1-2 (3.8%),3-2 (3.0%),5-0 (2.0%),0-2 (1.7%),5-1 (1.7%),4-2 (1.6%),2-3 (1.2%),1-3 (1.0%),3-3 (0.8%)
Portugal vs Uzbekistan,55.7542,23.2026,21.043200000000002,1-1 (11.0%),1-0 (10.8%),2-1 (9.9%),2-0 (9.7%),0-1 (6.1%),0-0 (6.0%),3-1 (5.9%),3-0 (5.8%),1-2 (5.5%),2-2 (5.0%),0-2 (3.1%),3-2 (3.0%),4-1 (2.7%),4-0 (2.6%),1-3 (1.9%),2-3 (1.6%),4-2 (1.4%),0-3 (1.0%),3-3 (1.0%),5-1 (1.0%)
Portugal vs Colombia,37.6024,25.711000000000002,36.686600000000006,1-1 (12.2%),1-0 (9.2%),0-1 (9.0%),2-1 (8.3%),1-2 (8.2%),0-0 (6.7%),2-0 (6.2%),0-2 (6.1%),2-2 (5.6%),3-1 (3.8%),1-3 (3.7%),3-0 (2.8%),0-3 (2.6%),3-2 (2.5%),2-3 (2.5%),4-1 (1.3%),1-4 (1.2%),3-3 (1.1%),4-0 (1.0%),0-4 (0.9%)
DR Congo vs Uzbekistan,26.07,24.4914,49.4386,1-1 (11.7%),0-1 (10.5%),1-2 (9.5%),0-2 (8.6%),1-0 (7.1%),2-1 (6.6%),0-0 (6.4%),2-2 (5.3%),1-3 (5.2%),0-3 (4.7%),2-0 (4.0%),2-3 (2.9%),3-1 (2.4%),1-4 (2.1%),3-2 (2.0%),0-4 (1.9%),3-0 (1.5%),2-4 (1.2%),3-3 (1.1%),1-5 (0.7%)
DR Congo vs Colombia,13.431399999999998,19.092200000000002,67.4764,0-2 (11.6%),0-1 (10.8%),1-2 (9.8%),1-1 (9.0%),0-3 (8.4%),1-3 (7.0%),0-0 (5.0%),0-4 (4.5%),1-0 (4.2%),2-2 (4.1%),2-1 (3.8%),1-4 (3.8%),2-3 (3.0%),0-5 (1.9%),2-0 (1.8%),1-5 (1.6%),2-4 (1.6%),3-2 (1.2%),3-1 (1.1%),3-3 (0.9%)
Uzbekistan vs Colombia,21.5194,23.2364,55.2442,1-1 (11.1%),0-1 (10.9%),1-2 (9.8%),0-2 (9.6%),1-0 (6.1%),0-0 (6.0%),1-3 (5.8%),0-3 (5.7%),2-1 (5.6%),2-2 (5.0%),2-0 (3.1%),2-3 (3.0%),1-4 (2.6%),0-4 (2.6%),3-1 (1.9%),3-2 (1.7%),2-4 (1.3%),3-0 (1.1%),3-3 (1.0%),1-5 (0.9%)
England vs Croatia,43.675399999999996,25.418200000000002,30.9064,1-1 (12.1%),1-0 (9.9%),2-1 (9.0%),0-1 (8.1%),2-0 (7.4%),1-2 (7.3%),0-0 (6.6%),2-2 (5.5%),0-2 (4.9%),3-1 (4.5%),3-0 (3.7%),1-3 (3.0%),3-2 (2.8%),2-3 (2.2%),0-3 (2.0%),4-1 (1.7%),4-0 (1.4%),3-3 (1.1%),4-2 (1.0%),1-4 (0.9%)
England vs Ghana,79.1022,13.647799999999998,7.249999999999999,2-0 (12.5%),3-0 (11.0%),1-0 (9.4%),2-1 (8.7%),3-1 (7.6%),4-0 (7.3%),1-1 (6.5%),4-1 (5.0%),5-0 (3.9%),0-0 (3.6%),2-2 (2.9%),5-1 (2.6%),3-2 (2.6%),0-1 (2.4%),1-2 (2.2%),6-0 (1.7%),4-2 (1.7%),6-1 (1.2%),5-2 (0.9%),0-2 (0.8%)
England vs Panama,65.392,19.971,14.637,2-0 (11.2%),1-0 (10.9%),2-1 (9.9%),1-1 (9.5%),3-0 (7.8%),3-1 (6.9%),0-0 (5.2%),0-1 (4.5%),2-2 (4.3%),1-2 (4.1%),4-0 (4.1%),4-1 (3.6%),3-2 (3.0%),0-2 (2.0%),5-0 (1.7%),4-2 (1.6%),5-1 (1.5%),2-3 (1.3%),1-3 (1.2%),3-3 (0.8%)
Croatia vs Ghana,73.4396,16.438,10.122399999999999,2-0 (12.1%),1-0 (10.2%),3-0 (9.7%),2-1 (9.3%),1-1 (7.8%),3-1 (7.5%),4-0 (5.8%),4-1 (4.4%),0-0 (4.3%),2-2 (3.6%),0-1 (3.3%),1-2 (3.0%),3-2 (2.8%),5-0 (2.8%),5-1 (2.1%),4-2 (1.7%),0-2 (1.3%),6-0 (1.1%),2-3 (0.9%),6-1 (0.9%)
Croatia vs Panama,58.825799999999994,22.2576,18.9166,1-0 (10.9%),1-1 (10.6%),2-0 (10.2%),2-1 (9.9%),3-0 (6.5%),3-1 (6.2%),0-0 (5.8%),0-1 (5.6%),1-2 (5.0%),2-2 (4.8%),4-0 (3.0%),3-2 (3.0%),4-1 (2.9%),0-2 (2.7%),1-3 (1.6%),2-3 (1.6%),4-2 (1.4%),5-0 (1.1%),5-1 (1.1%),3-3 (1.0%)
Ghana vs Panama,23.5124,23.8778,52.60979999999999,1-1 (11.3%),0-1 (10.6%),1-2 (9.8%),0-2 (9.1%),1-0 (6.6%),0-0 (6.3%),2-1 (6.0%),1-3 (5.5%),0-3 (5.2%),2-2 (5.1%),2-0 (3.5%),2-3 (3.0%),1-4 (2.4%),0-4 (2.3%),3-1 (2.1%),3-2 (1.9%),3-0 (1.3%),2-4 (1.3%),3-3 (1.1%),1-5 (0.8%)
